67;5;64;16;65;37;55;19;58;47;90;40;89;31;32;32;9;21;56;29;75;91;62;17;1;33;48;95;35;99;60;90;16;32;53
88;71;30;64;22;52;4;6;20;7;91;95;82;42;89;92;97;95;92;80;38;64;26;23;2;90;83;34;77;89;18;71;43;60;4
96;34;15;28;89;61;4;1;99;48;72;98;29;65;45;36;66;11;91;51;32;26;37;50;63;98;14;16;3;38;22;4;24;55;77
45;2;82;16;89;91;64;38;14;97;83;82;71;69;53;59;46;20;2;44;15;1;22;85;43;81;10;24;23;66;2;86;7;60;28
37;99;64;26;32;83;1;91;64;24;63;27;31;37;82;24;18;56;43;23;33;50;44;85;5;46;35;22;97;95;85;88;23;57;27
86;90;54;41;20;63;13;51;67;12;27;38;34;42;75;98;81;79;70;43;24;73;12;6;20;53;86;85;85;100;66;4;30;39;41
93;15;12;51;42;60;74;13;90;49;30;47;26;90;47;29;3;5;33;18;21;38;25;96;90;30;3;95;6;9;85;14;73;73;16
48;69;53;17;83;73;74;21;60;83;6;28;82;52;57;75;24;87;32;33;92;60;26;65;49;11;82;47;14;71;55;9;30;41;86
12;80;89;63;3;38;29;51;49;6;41;35;1;25;45;88;23;48;12;46;53;38;42;39;7;10;59;34;57;81;24;61;73;5;68
14;26;64;86;88;59;46;26;18;53;68;58;65;91;11;46;85;81;10;15;78;63;92;56;40;71;13;33;82;90;99;15;49;18;18
25;78;37;66;8;15;40;59;19;83;72;22;7;38;56;98;59;4;77;77;16;79;52;57;85;7;63;9;44;27;8;21;6;46;33
86;60;97;98;32;54;58;16;19;98;90;40;30;89;37;21;7;72;45;23;4;69;84;96;30;14;9;76;94;5;58;5;41;53;63
98;99;13;17;22;38;38;52;48;96;65;55;69;10;69;32;60;90;71;80;54;65;14;93;53;89;98;88;59;57;100;19;23;48;1
67;26;86;79;23;61;84;42;40;81;19;99;97;30;86;1;66;45;12;80;53;47;97;60;86;88;60;84;14;58;16;15;42;64;3
90;83;56;88;69;25;83;77;35;91;14;57;42;54;87;50;96;8;21;41;30;98;45;28;24;54;47;45;43;24;51;97;1;61;66
23;64;47;43;5;43;27;72;6;21;91;2;60;41;70;16;75;38;50;92;57;51;99;77;60;31;61;98;11;18;89;97;78;35;19
1;18;86;73;32;44;39;20;27;25;55;23;4;72;55;38;91;22;29;79;63;18;54;16;55;83;58;68;35;96;52;66;97;1;40
49;4;39;29;36;91;89;41;43;54;56;94;91;87;44;84;22;37;28;43;79;2;16;97;31;42;42;28;46;69;42;39;42;56;15
